date,loadtime_ms
2016-06-20,1282
2016-06-21,1728
2016-06-22,1047
2016-06-23,1111
2016-06-24,1027
2016-06-25,643
2016-06-26,757
2016-06-27,1049
2016-06-28,1201
2016-06-29,1265
2016-06-30,1617
2016-07-01,1145
2016-07-02,614
2016-07-03,673
2016-07-04,1023
2016-07-05,1323
2016-07-06,1117
2016-07-07,1048
2016-07-08,904
2016-07-09,647
2016-07-10,830
2016-07-11,761
2016-07-12,759
2016-07-13,607
2016-07-14,1141
2016-07-15,1022
2016-07-16,864
2016-07-17,743
2016-07-18,866
2016-07-19,1328
2016-07-20,1147
2016-07-21,973
2016-07-22,1178
2016-07-23,1093
2016-07-24,927
2016-07-25,998
2016-07-26,1195
2016-07-27,1167
2016-07-28,1023
2016-07-29,1329
2016-07-30,1051
2016-07-31,929
2016-08-01,1037
2016-08-02,897
2016-08-03,1197
2016-08-04,1179
2016-08-05,1402
2016-08-06,1018
2016-08-07,605
2016-08-08,2261
2016-08-09,2059
2016-08-10,2383
2016-08-11,2402
2016-08-12,1385
2016-08-13,2068
2016-08-14,2290
2016-08-15,2627
2016-08-16,1862
2016-08-17,2494
2016-08-18,2753
2016-08-19,1556
2016-08-20,898
2016-08-21,926
2016-08-22,1158
2016-08-23,1253
2016-08-24,1403
2016-08-25,655
2016-08-26,497
2016-08-27,544
2016-08-28,526
2016-08-29,503
2016-08-30,575
2016-08-31,545
2016-09-01,628
2016-09-02,467
2016-09-03,518
2016-09-04,568
2016-09-05,513
2016-09-06,386
2016-09-07,629
2016-09-08,533
2016-09-09,453
2016-09-10,279
2016-09-11,193
2016-09-12,83
2016-09-13,45
2016-09-14,40
2016-09-15,46
2016-09-16,44
2016-09-17,29
2016-09-18,34
2016-09-19,46
2016-09-20,36
2016-09-21,29
2016-09-22,32
2016-09-23,40
2016-09-24,35
2016-09-25,32
2016-09-26,47
2016-09-27,43
2016-09-28,36
2016-09-29,38
2016-09-30,36
2016-10-01,26
2016-10-02,35
2016-10-03,35
2016-10-04,35
2016-10-05,32
2016-10-06,40
2016-10-07,33
