numsearch,julia,python,python.numba.autojit,pypy,r,r.compiled,pqr,pqr.compiled
5,0.00000397,0.00020504,0.000151873,0.00017786,0.002,0.001,0.005,0.001
6,0.00000379,0.000262976,0.000154018,0.000188828,0.001,0.001,0.001,0.002
7,0.000014825,0.000664949,0.000166893,0.000854015,0.006,0.004,0.006,0.007
8,0.000039703,0.00108099,0.000188112,0.009742022,0.013,0.008,0.010,0.016
9,0.000076742,0.002322912,0.000267982,0.000261068,0.043,0.023,0.039,0.026
10,0.000076607,0.003396988,0.000267029,0.000237942,0.039,0.022,0.027,0.046
11,0.000823945,0.02748704,0.001467943,0.002061844,0.44,0.291,0.332,0.255
12,0.000821749,0.035820007,0.001489878,0.001934052,0.452,0.297,0.333,0.288
13,0.010605375,0.316774845,0.01487422,0.019350052,5.815,3.607,4.360,3.159
14,0.010630492,0.298761129,0.01452589,0.019341946,5.788,3.705,4.237,3.227
15,0.010503501,0.301928043,0.012264013,0.019345045,5.835,3.73,4.107,3.208
16,0.021200822,0.530452967,0.026901007,0.035957098,11.501,7.378, 8.491,6.454
17,0.363452242,8.983376026,0.401096106,0.557502031,199.728,129.567,138.666,105.439
18,0.36084801,8.78918004,0.402631998,0.559808016,195.931,131.818,129.574,106.443
19,6.769898477,167.0045929,7.635011911,10.58015704,3672.091,2259.904,2437.733,1913.894
20,6.767957508,172.063755,7.634871006,10.62883091,3731.005,2048.16,2577.394 ,1857.419
