Month,Views,Visitors
Feb-12,2723,
Mar-12,3379,
Apr-12,3625,
May-12,4084,
Jun-12,3868,
Jul-12,4096,
Aug-12,3863,
Sep-12,3828,
Oct-12,4431,
Nov-12,4779,
Dec-12,3767,2637
Jan-13,5074,3644
Feb-13,6163,4029
Mar-13,4732,3332
Apr-13,6678,4262
May-13,5982,3777
Jun-13,4917,3347
Jul-13,7078,4539
Aug-13,8602,5040
Sep-13,9037,5193
Oct-13,5952,3551
Nov-13,6108,3581
Dec-13,6071,3657
Jan-14,6043,3921
Feb-14,6288,4099
Mar-14,6648,4288
Apr-14,6475,4086
May-14,6369,3920
Jun-14,9005,5309
Jul-14,3515,2170
