"step.1","step.2","count"
"broken-macbook-pro-hinge-fixed-free","Exited Site",7972
"Entered Site","broken-macbook-pro-hinge-fixed-free",7955
"Entered Site","julia-language-beginners",2836
"julia-language-beginners","Exited Site",2815
"Entered Site","http://randyzwitch.com",1809
"Entered Site","r-amazon-ec2",1695
"r-amazon-ec2","Exited Site",1662
"http://randyzwitch.com","Exited Site",1491
"Entered Site","disable-mobile-theme-in-wordpress",1335
"disable-mobile-theme-in-wordpress","Exited Site",1329
"Entered Site","hadoop-creating-tables-hive",1112
"hadoop-creating-tables-hive","Exited Site",1092
"Entered Site","python-pypy-julia-r-pqr-jit-just-in-time-compiler",1009
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","Exited Site",1007
"Entered Site","r-google-analytics-api",838
"r-google-analytics-api","Exited Site",814
"creating-dummy-variables-data-frame-r","Exited Site",781
"Entered Site","creating-dummy-variables-data-frame-r",775
"Entered Site","julia-import-data",763
"julia-import-data","Exited Site",755
"Entered Site","r-language-oddities",706
"Entered Site","removing-powered-by-wordpress-twenty-eleven",690
"Entered Site","julia-odbc-jl",687
"removing-powered-by-wordpress-twenty-eleven","Exited Site",684
"r-language-oddities","Exited Site",678
"julia-odbc-jl","Exited Site",677
"Entered Site","uploading-data-hadoop-amazon-ec2-cloudera-part-3",551
"hive-five-hard-won-lessons","Exited Site",539
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","Exited Site",537
"Entered Site","hive-five-hard-won-lessons",536
"Entered Site","big-data-hadoop-amazon-ec2-cloudera-part-1",514
"big-data-hadoop-amazon-ec2-cloudera-part-1","Exited Site",488
"rsitecatalyst","Exited Site",458
"Entered Site","wordpress-remove-this-entry-was-posted-in",452
"Entered Site","rsitecatalyst",446
"wordpress-remove-this-entry-was-posted-in","Exited Site",442
"getting-started-hadoop-hive-pig","Exited Site",435
"Entered Site","anomaly-detection-adobe-analytics-api",430
"rsitecatalyst-k-means-clustering","Exited Site",414
"anomaly-detection-adobe-analytics-api","Exited Site",412
"Entered Site","rsitecatalyst-k-means-clustering",406
"big-data-hadoop-amazon-ec2-cloudera-part-2","Exited Site",400
"Entered Site","big-data-hadoop-amazon-ec2-cloudera-part-2",392
"Entered Site","amazon-elastic-map-reduce-mrjob-python",375
"amazon-elastic-map-reduce-mrjob-python","Exited Site",368
"r-json-jsonlite-sprintf-paste","Exited Site",355
"Entered Site","getting-started-hadoop-hive-pig",346
"Entered Site","r-json-jsonlite-sprintf-paste",346
"google-analytics-custom-variables","Exited Site",326
"Entered Site","google-analytics-custom-variables",325
"sql-workbench-apache-hadoop-hive","Exited Site",284
"Entered Site","least-useful-omniture-reports",267
"Entered Site","sql-workbench-apache-hadoop-hive",266
"line-numbers-ipython-notebook","Exited Site",259
"Entered Site","line-numbers-ipython-notebook",257
"least-useful-omniture-reports","Exited Site",257
"custom-header-twenty-eleven-child-theme","Exited Site",254
"ipython-notebook-amazon-ec2","Exited Site",252
"Entered Site","page-navigation-wordpress-twenty-eleven",248
"page-navigation-wordpress-twenty-eleven","Exited Site",248
"Entered Site","custom-header-twenty-eleven-child-theme",245
"Entered Site","ipython-notebook-amazon-ec2",239
"Entered Site","automated-re-install-of-packages-for-r-3-0",235
"real-time-reporting-adobe-analytics-api","Exited Site",234
"automated-re-install-of-packages-for-r-3-0","Exited Site",233
"Entered Site","real-time-reporting-adobe-analytics-api",217
"Entered Site","omniture-sitecatalyst-target-report",212
"big-data-hadoop-amazon-ec2-cloudera-part-1","big-data-hadoop-amazon-ec2-cloudera-part-2",206
"omniture-sitecatalyst-target-report","Exited Site",205
"Entered Site","getting-started-using-rstudio",202
"Entered Site","string-interpolation-julia",201
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","hadoop-creating-tables-hive",195
